Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Edu,Faaliat,T.shaghel,T.M.S,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
11302159514,13,2,1,59,1,2,1,1,1,1,3,60,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5667355,NA,NA,5530000,NA,NA,1200000,210000,NA,NA,1.00E+05,1.80E+08,NA,42100000,16380000
11302159517,13,2,1,52,2,NA,NA,1,1,1,3,40,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,3741000,1400000,NA,4200000,NA,NA,NA,4.00E+05,NA,NA,30000,NA,1.80E+08,2100000,10920000
11302159520,13,4,2,67,2,NA,NA,3,1,1,3,90,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,4368074,NA,NA,8060000,NA,6.00E+05,5.00E+05,2.00E+05,NA,NA,310000,1.20E+08,NA,51400000,NA
11302159523,13,1,2,59,2,NA,NA,3,NA,1,3,70,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,3035000,NA,NA,5994000,NA,2.00E+05,NA,4.00E+05,NA,NA,NA,NA,NA,88420000,5460000
11302159608,13,3,1,35,1,2,6,1,1,6,3,80,3,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,7553000,NA,5.00E+05,4890000,NA,NA,120000,4.00E+05,NA,NA,320000,NA,2.40E+08,NA,15470000
11302159611,13,3,1,57,1,2,4,1,1,1,4,100,3,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,6225000,1500000,NA,5950000,780000,2820000,2350000,850000,240000,260000,160000,3.00E+08,NA,NA,27300000
11302159614,13,4,1,51,1,2,1,1,2,1,4,85,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9848400,1200000,NA,5345000,1300000,670000,1800000,360000,NA,250000,1.00E+05,3.00E+08,NA,NA,21840000
11302159617,13,2,1,70,1,2,1,3,NA,1,4,140,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,3985000,NA,NA,4420000,NA,150000,1580000,220000,NA,NA,NA,NA,NA,7.00E+07,10920000
11302159620,13,4,1,38,1,2,3,1,1,6,4,60,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,3001000,NA,NA,6400000,NA,NA,9.00E+05,1.00E+05,NA,NA,NA,NA,1.61E+08,NA,21840000
11302159623,13,6,1,50,1,2,1,1,2,3,3,70,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9680000,1250000,1550000,4780000,450000,NA,650000,250000,140000,NA,710000,156800000,NA,NA,32760000
11302159708,13,1,2,59,1,2,1,3,NA,1,4,110,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,6998470,NA,2750000,16357500,1740000,1015000,220000,3.00E+05,NA,NA,710000,NA,NA,101800000,5460000
11302159712,13,3,1,49,1,2,2,1,1,3,4,80,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,4,14,24,8575000,1800000,2100000,6955000,220000,465000,250000,4.00E+05,NA,NA,840000,NA,1.80E+08,4350000,16380000
11302159716,13,2,1,66,2,NA,NA,1,1,1,3,70,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,7680000,NA,1.00E+06,8330000,30000,195000,810000,2.00E+05,NA,NA,NA,8.00E+07,1.50E+07,2.00E+06,10920000
11302159717,13,4,1,45,1,2,2,1,1,1,3,80,3,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,24560800,NA,10600000,6650000,1328000,4500000,3510000,4.00E+05,NA,7.00E+05,2250000,2.40E+08,NA,4.00E+06,21840000
11302159720,13,3,1,69,1,2,1,3,1,1,4,110,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,17391000,1550000,3550000,8946000,2088000,3515000,1400000,210000,40000,1.00E+05,470000,276800000,NA,1.91E+08,16380000
11302159723,13,4,1,50,1,2,2,1,2,1,6,180,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9692335,2170000,9810000,18430000,450000,NA,1700000,5.00E+05,NA,1143000,1180000,247400000,NA,3720000,21840000
11302159807,13,2,1,62,1,2,1,1,1,1,7,200,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,6135250,NA,NA,5080000,7.00E+05,NA,2.00E+06,NA,NA,NA,320000,1.38E+08,NA,79830000,10920000
